,x,y,Cluster
10,622.8316419165246,328.083094462902,0
11,609.3413230405954,334.8048505121821,0
12,602.9918394787028,342.61495848387364,0
13,610.5269504529558,345.5916601019609,0
42,1785.4732117049025,491.21177767825645,1
43,1796.2890602417897,496.8281626113316,1
44,1807.934745893384,501.74249942777226,1
45,1817.5792662930749,499.7746869993008,1
46,1824.927312551895,497.5707082672453,1
47,1834.0841257556356,496.6065125909825,1
48,1838.823610036181,493.3521270885383,1
49,1843.5161133271129,492.91525405961386,1
50,1848.1675082521328,492.0508473021621,1
51,1851.1465697206163,489.36591996082046,1
52,1858.6623394146304,484.6058942514322,1
53,1866.3295469878012,477.0658717557175,1
54,1873.0383536143263,471.91478064339566,2
55,1878.9085594125356,466.4432902058284,2
56,1884.0449894859685,464.06645035867126,2
57,1888.5393658002224,457.6474297781231,2
59,1895.9129519407952,422.4666705667326,3
60,1898.923832948196,414.0154796030339,3
61,1901.5583538296717,401.79925893836895,3
62,1903.8635596009624,389.66363728535856,3
63,1905.880614650842,392.54496833897446,3
64,1907.645537819487,396.9947044394598,3
65,1909.1898455920511,424.0310806702416,3
69,1913.663285953739,536.877838058899,4
70,1914.4553752095212,552.2145368729651,4
71,1915.1484533083317,566.1162911924159,4
72,1915.7548966447896,581.1731833647925,4
73,1916.2855345641915,583.7408211584792,4
74,1916.7498427436676,574.8982185136693,4
75,1917.156112400709,566.6787983423178,4
115,965.0121352121132,524.5989907127503,5
116,956.2038001287808,517.845545445085,5
117,952.8601432945014,512.9005665501637,5
118,946.6617162917796,506.6451385885361,5
119,942.3290017553072,498.7609248363976,5
120,938.5378765358938,494.2729520889908,5
121,936.3115510598162,493.23883307786696,5
122,934.9089708137028,499.0839789431336,5
123,932.5908040074444,504.6806244323848,5
124,927.8351353246958,511.0241178069081,5
125,922.5830161363816,514.6461030810447,5
126,916.3510482102428,519.2617687673427,5
127,908.1708035475988,522.8183333857106,5
128,900.4676349223308,525.4481845696397,5
129,893.7273623752212,528.2314472127205,5
130,887.8296238965004,529.2203734539876,5
131,882.6691027276197,525.2642553436677,5
132,879.7900103412128,520.3562234257092,5
133,875.634440866743,518.4724097832099,5
134,872.5437721220364,519.2347871317372,5
135,872.5667096976911,516.5268673116987,5
136,873.1322346218433,512.2288660405935,5
137,875.8088871122948,507.0216863569479,5
138,881.9691398596215,503.91183270518655,5
139,892.2684519226234,501.1907107598954,5
142,936.1706088608058,491.4455626491375,5
143,953.8765554804778,490.2827244608525,5
180,1890.80643682248,274.74997364002115,6
181,1894.4556322196704,288.6205126493042,6
182,1897.6486781922115,291.11437713956974,6
183,1900.442593418185,292.8143657114092,6
184,1902.887269240912,290.9268557117688,6
185,1905.0263605857976,294.57885589065484,6
186,1906.898065512573,301.631498904323,6
187,1908.5358073235016,309.2489901127112,6
188,1909.968831408064,316.3964377771937,6
189,1911.222727482056,321.6861687693302,6
190,1912.319886546799,324.38611195887825,6
191,1913.279900728449,328.1949908211613,6
192,1914.1199131373928,335.86704553994474,6
193,1914.8549239952188,342.5800934188802,6
194,1915.4980584958164,345.56115317009164,6
195,1916.0608011838397,347.2052947381159,6
196,1916.5532010358595,344.7867757529943,6
197,1916.984050906377,345.56342878387,6
198,1917.36104454308,346.7251430430291,6
199,1917.690913975195,352.08092873407907,6
200,1917.9795497282955,355.80295549946203,6
201,1918.2321060122583,353.27401463345785,6
202,1918.4530927607263,349.13261994713275,6
203,1918.6464561656355,342.1338995965983,6
204,1918.815649144931,348.54573357559497,6
205,1918.9636930018144,355.6025168786456,6
206,1919.093231376588,385.88434512595774,3
207,1919.2065774545144,402.7380876994988,3
208,1919.3057552727,403.9851124513471,3
209,1919.3925358636125,410.3798305377859,3
210,1919.468468880661,404.4037802919912,3
211,1919.5349102705784,397.24616489834943,3
212,1919.593046486756,377.00110857177,3
213,1919.643915675912,361.2152557145845,6
217,1808.1094517248869,497.8575196287326,1
235,1478.3211841607645,1018.9046031259604,7
236,1488.8037634133962,1026.5415277352154,7
237,1489.248747532176,1033.2238367683135,7
238,1485.819926817927,1039.0708571722744,7
239,1497.5469814202315,1044.18700002574,7
240,1511.080881469975,1048.6636250225224,7
241,1516.923044013501,1052.5806718947072,7
242,1523.67129987545,1055.525945050726,7
243,1533.3942055728369,1054.2459162050995,7
277,593.5257310224274,488.892781313372,8
278,595.6986510082604,477.4418979349148,8
279,600.3272287231371,471.7616606930505,8
280,604.3772342236541,471.6128816778477,8
281,612.8300799456974,472.9291286109739,8
282,620.7717744979398,474.5629875346022,8
316,1559.0143014473483,823.24475019565,9
317,1562.13751376643,837.499870706908,9
318,1562.1430518183531,847.5623868685445,9
319,1566.511533977423,851.063517081405,9
320,1565.9703195029724,852.1984345890866,9
321,1563.31493865601,850.2986302654507,9
322,1559.9005713240083,848.1541586251265,9
323,1555.8220908175986,853.5098887969857,9
